城市,区,地铁站点数,人均可支配收入（元）,聚类种类
北京市,东城区,42,92464.0,类别1
北京市,西城区,47,92464.0,类别3
北京市,朝阳区,132,92464.0,类别1
北京市,丰台区,73,92464.0,类别3
北京市,石景山区,14,92464.0,类别1
北京市,海淀区,91,92464.0,类别1
北京市,门头沟区,6,92464.0,类别1
北京市,房山区,19,92464.0,类别1
北京市,通州区,30,92464.0,类别1
北京市,顺义区,8,92464.0,类别1
北京市,昌平区,25,92464.0,类别1
北京市,大兴区,20,92464.0,类别1
北京市,怀柔区,0,92464.0,类别1
北京市,平谷区,0,92464.0,类别1
北京市,密云区,0,92464.0,类别1
北京市,延庆区,0,92464.0,类别1
天津市,和平区,9,57705.0,类别4
天津市,河东区,27,57705.0,类别3
天津市,河西区,44,57705.0,类别1
天津市,南开区,28,57705.0,类别3
天津市,河北区,20,57705.0,类别4
天津市,红桥区,12,57705.0,类别4
天津市,东丽区,35,57705.0,类别1
天津市,西青区,21,57705.0,类别4
天津市,津南区,16,57705.0,类别4
天津市,北辰区,28,57705.0,类别3
天津市,武清区,0,57705.0,类别4
天津市,宝坻区,0,57705.0,类别4
天津市,滨海新区,7,57705.0,类别4
天津市,宁河区,0,57705.0,类别4
天津市,静海区,2,57705.0,类别4
天津市,蓟州区,0,57705.0,类别4
石家庄市,长安区,19,45610.0,类别1
石家庄市,桥西区,16,45610.0,类别4
石家庄市,新华区,5,45610.0,类别4
石家庄市,井陉矿区,0,45610.0,类别4
石家庄市,裕华区,18,45610.0,类别1
石家庄市,藁城区,1,45610.0,类别4
石家庄市,鹿泉区,0,45610.0,类别4
石家庄市,栾城区,0,45610.0,类别4
石家庄市,井陉县,0,45610.0,类别4
石家庄市,正定县,4,45610.0,类别4
石家庄市,行唐县,0,45610.0,类别4
石家庄市,灵寿县,0,45610.0,类别4
石家庄市,高邑县,0,45610.0,类别4
石家庄市,深泽县,0,45610.0,类别4
石家庄市,赞皇县,0,45610.0,类别4
石家庄市,无极县,0,45610.0,类别4
石家庄市,平山县,0,45610.0,类别4
石家庄市,元氏县,0,45610.0,类别4
石家庄市,赵县,0,45610.0,类别4
石家庄市,石家庄高新技术产业开发区,0,45610.0,类别4
石家庄市,石家庄循环化工园区,0,45610.0,类别4
石家庄市,辛集市,0,45610.0,类别4
石家庄市,晋州市,0,45610.0,类别4
石家庄市,新乐市,0,45610.0,类别4
唐山市,路南区,0,,类别4
唐山市,路北区,0,,类别4
唐山市,古冶区,0,,类别4
唐山市,开平区,0,,类别4
唐山市,丰南区,0,,类别4
唐山市,丰润区,0,,类别4
唐山市,曹妃甸区,0,,类别4
唐山市,滦南县,0,,类别4
唐山市,乐亭县,0,,类别4
唐山市,迁西县,0,,类别4
唐山市,玉田县,0,,类别4
唐山市,河北唐山芦台经济开发区,0,,类别4
唐山市,唐山市汉沽管理区,0,,类别4
唐山市,唐山高新技术产业开发区,0,,类别4
唐山市,河北唐山海港经济开发区,0,,类别4
唐山市,遵化市,0,,类别4
唐山市,迁安市,0,,类别4
唐山市,滦州市,0,,类别4
秦皇岛市,海港区,0,,类别4
秦皇岛市,山海关区,0,,类别4
秦皇岛市,北戴河区,0,,类别4
秦皇岛市,抚宁区,0,,类别4
秦皇岛市,青龙满族自治县,0,,类别4
秦皇岛市,昌黎县,0,,类别4
秦皇岛市,卢龙县,0,,类别4
秦皇岛市,秦皇岛市经济技术开发区,0,,类别4
秦皇岛市,北戴河新区,0,,类别4
邯郸市,邯山区,0,,类别4
邯郸市,丛台区,0,,类别4
邯郸市,复兴区,0,,类别4
邯郸市,峰峰矿区,0,,类别4
邯郸市,肥乡区,0,,类别4
邯郸市,永年区,0,,类别4
邯郸市,临漳县,0,,类别4
邯郸市,成安县,0,,类别4
邯郸市,大名县,0,,类别4
邯郸市,涉县,0,,类别4
邯郸市,磁县,0,,类别4
邯郸市,邱县,0,,类别4
邯郸市,鸡泽县,0,,类别4
邯郸市,广平县,0,,类别4
邯郸市,馆陶县,0,,类别4
邯郸市,魏县,0,,类别4
邯郸市,曲周县,0,,类别4
邯郸市,邯郸经济技术开发区,0,,类别4
邯郸市,邯郸冀南新区,0,,类别4
邯郸市,武安市,0,,类别4
邢台市,襄都区,0,,类别4
邢台市,信都区,0,,类别4
邢台市,任泽区,0,,类别4
邢台市,南和区,0,,类别4
邢台市,临城县,0,,类别4
邢台市,内丘县,0,,类别4
邢台市,柏乡县,0,,类别4
邢台市,隆尧县,0,,类别4
邢台市,宁晋县,0,,类别4
邢台市,巨鹿县,0,,类别4
邢台市,新河县,0,,类别4
邢台市,广宗县,0,,类别4
邢台市,平乡县,0,,类别4
邢台市,威县,0,,类别4
邢台市,清河县,0,,类别4
邢台市,临西县,0,,类别4
邢台市,河北邢台经济开发区,0,,类别4
邢台市,南宫市,0,,类别4
邢台市,沙河市,0,,类别4
保定市,竞秀区,0,,类别4
保定市,莲池区,0,,类别4
保定市,满城区,0,,类别4
保定市,清苑区,0,,类别4
保定市,徐水区,0,,类别4
保定市,涞水县,0,,类别4
保定市,阜平县,0,,类别4
保定市,定兴县,0,,类别4
保定市,唐县,0,,类别4
保定市,高阳县,0,,类别4
保定市,容城县,0,,类别4
保定市,涞源县,0,,类别4
保定市,望都县,0,,类别4
保定市,安新县,0,,类别4
保定市,易县,0,,类别4
保定市,曲阳县,0,,类别4
保定市,蠡县,0,,类别4
保定市,顺平县,0,,类别4
保定市,博野县,0,,类别4
保定市,雄县,0,,类别4
保定市,保定高新技术产业开发区,0,,类别4
保定市,保定白沟新城,0,,类别4
保定市,涿州市,0,,类别4
保定市,定州市,0,,类别4
保定市,安国市,0,,类别4
保定市,高碑店市,0,,类别4
张家口市,桥东区,0,,类别4
张家口市,桥西区,0,,类别4
张家口市,宣化区,0,,类别4
张家口市,下花园区,0,,类别4
张家口市,万全区,0,,类别4
张家口市,崇礼区,0,,类别4
张家口市,张北县,0,,类别4
张家口市,康保县,0,,类别4
张家口市,沽源县,0,,类别4
张家口市,尚义县,0,,类别4
张家口市,蔚县,0,,类别4
张家口市,阳原县,0,,类别4
张家口市,怀安县,0,,类别4
张家口市,怀来县,0,,类别4
张家口市,涿鹿县,0,,类别4
张家口市,赤城县,0,,类别4
张家口市,张家口经济开发区,0,,类别4
张家口市,张家口市察北管理区,0,,类别4
张家口市,张家口市塞北管理区,0,,类别4
承德市,双桥区,0,,类别4
承德市,双滦区,0,,类别4
承德市,鹰手营子矿区,0,,类别4
承德市,承德县,0,,类别4
承德市,兴隆县,0,,类别4
承德市,滦平县,0,,类别4
承德市,隆化县,0,,类别4
承德市,丰宁满族自治县,0,,类别4
承德市,宽城满族自治县,0,,类别4
承德市,围场满族蒙古族自治县,0,,类别4
承德市,承德高新技术产业开发区,0,,类别4
承德市,平泉市,0,,类别4
沧州市,新华区,0,,类别4
沧州市,运河区,0,,类别4
沧州市,沧县,0,,类别4
沧州市,青县,0,,类别4
沧州市,东光县,0,,类别4
沧州市,海兴县,0,,类别4
沧州市,盐山县,0,,类别4
沧州市,肃宁县,0,,类别4
